Review_Text,Sentiment
La livraison a été très rapide et le repas était bnina!,Positive
الأكل وصل باردًا ولم يكن طازجًا كما توقعت.,Negative
The food was delicious and the delivery was prompt.,Positive
La plateforme a des problèmes de connexion fréquents.,Negative
خدمة التوصيل ممتازة والأسعار مناسبة.,Positive
The delivery was late and the food was cold.,Negative
La nourriture était fraîche et savoureuse.,Positive
الأكل وصل بسرعة وكان طيبًا جدًا.,Positive
The app is user-friendly but sometimes crashes.,Positive
La commande a été incorrecte et le service client était lent.,Negative
الأكل كان طيبًا ولكن التغليف كان سيئًا.,Positive
Great variety of dishes available on the app.,Positive
La livraison était rapide mais le repas était moyen.,Positive
الأكل وصل باردًا ولم يكن لذيذًا.,Negative
The food was tasty and arrived on time. 😊,Positive
La plateforme est fiable et facile à utiliser.,Positive
الأكل كان غير طازج والخدمة بطيئة.,Negative
Excellent customer service and delicious food!,Positive
La nourriture était délicieuse et bien emballée.,Positive
الأكل وصل بسرعة وكان طيبًا.,Positive
The delivery was efficient and the food was fresh.,Positive
La commande est arrivée en retard et le repas était froid.,Negative
الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Positive
The app is intuitive and easy to navigate.,Positive
La livraison a été impeccable et rapide.,Positive
الأكل وصل باردًا وغير لذيذ.,Negative
Great food quality and fast delivery.,Positive
La plateforme a des bugs et est lente.,Negative
الأكل كان طازجًا ولذيذًا.,Positive
The delivery was prompt and the food was tasty.,Positive
La nourriture était moyenne et le service médiocre.,Negative
الأكل وصل بسرعة وكان طيبًا.,Positive
"The app crashes too often, making ordering difficult.",Negative
La livraison était rapide et le repas était délicieux.,Positive
الأكل وصل باردًا ولم يكن جيدًا.,Negative
Excellent packaging and fresh food!,Positive
La plateforme est parfois difficile à naviguer.,Positive
الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Positive
The food was delicious but the delivery was slow.,Positive
La nourriture était fraîche et bien présentée.,Positive
الأكل وصل بسرعة وكان لذيذاً.,Positive
The app is user-friendly and works smoothly.,Positive
La commande était incorrecte et le service client était lent.,Negative
الأكل كان باردًا وغير طازج.,Negative
Great selection and delicious food options.,Positive
La livraison a été rapide et sans problèmes.,Positive
الأكل وصل باردًا ولم يكن طازجًا.,Negative
The food was tasty and arrived on time.,Positive
La plateforme est fiable et facile à utiliser.,Positive
الأكل وصل بسرعة وكان لذيذاً جداً.,Positive
The delivery was efficient and the food was fresh.,Positive
La commande est arrivée en retard et le repas était froid.,Negative
الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Positive
The app is intuitive and easy to navigate.,Positive
La livraison a été impeccable et rapide.,Positive
الأكل وصل باردًا وغير لذيذ.,Negative
Great food quality and fast delivery.,Positive
La plateforme a des bugs et est lente.,Negative
الأكل كان طازجًا ولذيذًا.,Positive
The delivery was prompt and the food was tasty.,Positive
La nourriture était moyenne et le service médiocre.,Negative
الأكل وصل بسرعة وكان طيبًا.,Positive
"The app crashes too often, making ordering difficult.",Negative
La livraison était rapide et le repas était délicieux.,Positive
الأكل وصل باردًا ولم يكن جيدًا.,Negative
Excellent packaging and fresh food!,Positive
La plateforme est parfois difficile à naviguer.,Positive
الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Positive
The food was delicious but the delivery was slow.,Positive
La nourriture était fraîche et bien présentée.,Positive
الأكل وصل بسرعة وكان لذيذاً.,Positive
The app is user-friendly and works smoothly.,Positive
La commande était incorrecte et le service client était lent.,Negative
الأكل كان باردًا وغير طازج.,Negative
Great selection and delicious food options.,Positive
La livraison a été rapide et sans problèmes.,Positive
الأكل وصل باردًا ولم يكن طازجًا.,Negative
The food was tasty and arrived on time.,Positive
La plateforme est fiable et facile à utiliser.,Positive
الأكل وصل بسرعة وكان لذيذاً جداً.,Positive
The delivery was efficient and the food was fresh.,Positive
La commande est arrivée en retard et le repas était froid.,Negative
الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Positive
The app is intuitive and easy to navigate.,Positive
La livraison a été impeccable et rapide.,Positive
الأكل وصل باردًا وغير لذيذ.,Negative
Great food quality and fast delivery.,Positive
La plateforme a des bugs et est lente.,Negative
الأكل كان طازجًا ولذيذًا.,Positive
The delivery was prompt and the food was tasty.,Positive
La nourriture était moyenne et le service médiocre.,Negative
الأكل وصل بسرعة وكان طيبًا.,Positive
"The app crashes too often, making ordering difficult.",Negative
La livraison était rapide et le repas était délicieux.,Positive
الأكل وصل باردًا ولم يكن جيدًا.,Negative
Excellent packaging and fresh food!,Positive
La plateforme est parfois difficile à naviguer.,Positive
الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Positive
The food was delicious but the delivery was slow.,Positive
La nourriture était fraîche et bien présentée.,Positive
الأكل وصل بسرعة وكان لذيذاً.,Positive
The app is user-friendly and works smoothly.,Positive
La commande était incorrecte et le service client était lent.,Negative
الأكل كان باردًا وغير طازج.,Negative
Great selection and delicious food options.,Positive
La livraison a été rapide et sans problèmes.,Positive
الأكل وصل باردًا ولم يكن طازجًا.,Negative
The food was tasty and arrived on time.,Positive
La plateforme est fiable et facile à utiliser.,Positive
الأكل وصل بسرعة وكان لذيذاً جداً.,Positive
The delivery was efficient and the food was fresh.,Positive
La commande est arrivée en retard et le repas était froid.,Negative
الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Positive
The app is intuitive and easy to navigate.,Positive
La livraison a été impeccable et rapide.,Positive
الأكل وصل باردًا وغير لذيذ.,Negative
Great food quality and fast delivery.,Positive
La plateforme a des bugs et est lente.,Negative
الأكل كان طازجًا ولذيذًا.,Positive
The delivery was prompt and the food was tasty.,Positive
La nourriture était moyenne et le service médiocre.,Negative
الأكل وصل بسرعة وكان طيبًا.,Positive
"The app crashes too often, making ordering difficult.",Negative
La livraison était rapide et le repas était délicieux.,Positive
الأكل وصل باردًا ولم يكن جيدًا.,Negative
Excellent packaging and fresh food!,Positive
La plateforme est parfois difficile à naviguer.,Positive
الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Positive
The food was delicious but the delivery was slow.,Positive
La nourriture était fraîche et bien présentée.,Positive
الأكل وصل بسرعة وكان لذيذاً.,Positive
The app is user-friendly and works smoothly.,Positive
La commande était incorrecte et le service client était lent.,Negative
الأكل كان باردًا وغير طازج.,Negative
Great selection and delicious food options.,Positive
La livraison a été rapide et sans problèmes.,Positive
The food was tasty and arrived on time.,Positive
La plateforme est fiable et facile à utiliser.,Positive
الأكل وصل بسرعة وكان لذيذاً جداً.,Positive
The delivery was efficient and the food was fresh.,Positive
La commande est arrivée en retard et le repas était froid.,Negative
الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Positive
The app is intuitive and easy to navigate.,Positive
La livraison a été impeccable et rapide.,Positive
الأكل وصل باردًا وغير لذيذ.,Negative
Great food quality and fast delivery.,Positive
La plateforme a des bugs et est lente.,Negative
The delivery was prompt and the food was tasty.,Positive
La nourriture était moyenne et le service médiocre.,Negative
الأكل وصل بسرعة وكان طيبًا.,Positive
"The app crashes too often, making ordering difficult.",Negative
La livraison était rapide et le repas était délicieux.,Positive
الأكل وصل باردًا ولم يكن جيدًا.,Negative
Excellent packaging and fresh food!,Positive
La plateforme est parfois difficile à naviguer.,Positive
الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Positive
The food was delicious but the delivery was slow.,Positive
La nourriture était fraîche et bien présentée.,Positive
الأكل وصل بسرعة وكان لذيذاً.,Positive
The app is user-friendly and works smoothly.,Positive
La commande était incorrecte et le service client était lent.,Negative
الأكل كان باردًا وغير طازج.,Negative
Great selection and delicious food options.,Positive
La livraison a été rapide et sans problèmes.,Positive
الأكل وصل باردًا ولم يكن طازجًا.,Negative
The food was tasty and arrived on time.,Positive
La plateforme est fiable et facile à utiliser.,Positive
الأكل وصل بسرعة وكان لذيذاً جداً.,Positive
The delivery was efficient and the food was fresh.,Positive
La commande est arrivée en retard et le repas était froid.,Negative
الأكل كان طيبًا ولكن السعر كان مرتفعًا.,Positive
The app is intuitive and easy to navigate.,Positive
La livraison a été impeccable et rapide.,Positive
الأكل وصل باردًا وغير لذيذ.,Negative
Great food quality and fast delivery.,Positive
La plateforme a des bugs et est lente.,Negative
الأكل كان طازجًا ولذيذًا.,Positive
The delivery was prompt and the food was tasty.,Positive
La nourriture était moyenne et le service médiocre.,Negative
الأكل وصل بسرعة وكان طيبًا.,Positive
"The app crashes too often, making ordering difficult.",Negative
La livraison était rapide et le repas était délicieux.,Positive
الأكل وصل باردًا ولم يكن جيدًا.,Negative
Excellent packaging and fresh food!,Positive
La plateforme est parfois difficile à naviguer.,Positive
الأكل كان طيبًا لكن التوصيل كان بطيئًا.,Positive
The food was delicious but the delivery was slow.,Positive
La nourriture était fraîche et bien présentée.,Positive
الأكل وصل بسرعة وكان لذيذاً.,Positive
The app is user-friendly and works smoothly.,Positive
La commande était incorrecte et le service client était lent.,Negative
الأكل كان باردًا وغير طازج.,Negative
Great selection and delicious food options.,Positive
La livraison a été rapide et sans problèmes.,Positive
الأكل وصل باردًا ولم يكن طازجًا.,Negative
The food was tasty and arrived on time.,Positive
La plateforme est fiable et facile à utiliser.,Positive
الأكل وصل بسرعة وكان لذيذاً جداً.,Positive
Livraison super rapide et la nourriture était bnina! 🍔,Positive
"La commande est arrivée barda, froide et retardée.",Negative
التوصيل سريع والاكل طيب جداً، شكراً لكم! 😊,Positive
خدمة التوصيل سيئة جداً، الطعام وصل بارد ومغلف بشكل سيء.,Negative
Great service! The delivery was on time and the food was delicious.,Positive
La nourriture était délicieuse mais le prix est un peu élevé.,Positive
La plateforme est barda mais la livraison a pris trop de temps.,Negative
الأكل كان مش بطال ولكن التغليف كان ضعيف.,Positive
"Food arrived on time, but the quality could be better.",Positive
"Service client très réactif et efficace, merci! 👍",Positive
تطبيق التوصيل سهل الاستخدام ويعمل بشكل جيد.,Positive
The order was incorrect and it took forever to get it fixed.,Negative
Livraison rapide mais le repas n'était pas chaud.,Negative
الطلبية وصلت بسرعة وكانت الأسعار مناسبة.,Positive
Loved the packaging! Everything was secure and fresh. 🥗,Positive
La nourriture était barda mais la livraison était lente.,Negative
تجربة توصيل ممتازة، شكراً لكم!,Positive
"The app crashes frequently, making it hard to place orders.",Negative
"Service moyen, rien de spécial.",Positive
الأكل كان طيب ولكن التأخير كان مزعج.,Negative
Everything was perfect! Will order again. 😊,Positive
La livraison a été correcte mais le repas manque de saveur.,Positive
خدمة سيئة جدا، الطلب لم يصل في الوقت المحدد.,Negative
"Good prices and tasty food, highly recommend!",Positive
"La plateforme est bizzare parfois, mais généralement bien.",Positive
الأكل وصل سريعاً ومغلف بشكل جيد.,Positive
The delivery person was rude and unprofessional.,Negative
Très satisfait de la qualité et de la rapidité.,Positive
التطبيق سهل ولكن بعض الأوقات لا يعمل.,Positive
"Food was okay, nothing bnina but acceptable.",Positive
Livraison rapide et service client au top!,Positive
الأكل بارد والتغليف غير جيد.,Negative
The prices are a bit high compared to local restaurants.,Negative
"Tout était parfait, je recommande vivement! 👍",Positive
توصيل سريع ولكن الطعام لم يكن كما توقعت.,Positive
App is user-friendly and easy to navigate.,Positive
La nourriture était froide et sans goût.,Negative
خدمة عملاء ممتازة وسريعة الاستجابة.,Positive
Delivery was delayed and the food was incomplete.,Negative
Les prix sont raisonnables pour la qualité offerte.,Positive
الأكل لذيذ والتوصيل كان في الوقت المحدد.,Positive
"The packaging was damaged, and some items were missing.",Negative
"Service rapide et efficace, merci beaucoup!",Positive
التطبيق يتعطل أحياناً مما يسبب مشاكل.,Negative
Good food but the delivery was a bit slow.,Positive
La commande est arrivée rapidement et en bon état.,Positive
الأكل كان مشبعة وكانت الخدمة ممتازة.,Positive
The app interface is confusing and not intuitive.,Negative
Très déçu par la qualité du repas.,Negative
خدمة رائعة والأسعار مناسبة جداً.,Positive
La livraison était barda et le repas était délicieux!,Positive
الأكل بارد والمغلف سيء جداً.,Negative
"Great app usability, easy to place orders.",Positive
La nourriture n'était pas bnina comme d'habitude.,Negative
التوصيل سريع والأكل لذيذ.,Positive
The order was missing items and took too long to resolve.,Negative
Service client efficace et sympathique.,Positive
الأكل كان مش بطال ولكن لم يكن طازجاً.,Positive
Prices are a bit high but the food is worth it.,Positive
La livraison a été retardée et le repas froid.,Negative
التطبيق سهل الاستخدام لكن هناك بعض المشاكل.,Positive
Food quality has declined recently.,Negative
La commande était correcte et arrivée à temps.,Positive
الأكل وصل بارد ولم يكن لذيذاً.,Negative
"Excellent packaging, nothing was spilled.",Positive
La nourriture était ok mais le service client est mauvais.,Negative
خدمة التوصيل بطيئة جداً.,Negative
The app is intuitive and works smoothly.,Positive
La livraison a été rapide et le repas était bnina.,Positive
الأكل كان مش طيب كما توقعت.,Negative
Affordable prices and good food quality.,Positive
La nourriture était fraîche et bien emballée.,Positive
خدمة عملاء سيئة ولم يتم حل مشكلتي.,Negative
The food was delivered on time and was tasty.,Positive
La plateforme a des bugs fréquents.,Negative
الأكل وصل في الوقت المحدد وكانت الأسعار مناسبة.,Positive
The delivery was cold and the food was stale.,Negative
Très bon service et nourriture délicieuse.,Positive
التطبيق صعب الاستخدام ويتعطل كثيراً.,Negative
Good customer service and reliable delivery.,Positive
La nourriture n'était pas à la hauteur des attentes.,Negative
الأكل طيب ولكن التغليف كان سيء.,Positive
The prices are too high for the portion sizes.,Negative
Livraison rapide et nourriture fraîche.,Positive
خدمة التوصيل ممتازة والأسعار جيدة.,Positive
The food arrived late and was cold.,Negative
La commande était complète et correcte.,Positive
الأكل ليس بطعمي المفضل.,Negative
"Affordable and tasty meals, will order again.",Positive
La livraison était lente et le repas froid.,Negative
التطبيق يعمل بشكل جيد معظم الوقت.,Positive
"Food quality has declined, not satisfied.",Negative
Très bon rapport qualité-prix.,Positive
الأكل وصل في الوقت المحدد وكان لذيذاً.,Positive
The app is buggy and hard to use.,Negative
La nourriture était excellente et bien présentée.,Positive
الأكل ليس طازجاً كما كنت أتمنى.,Negative
Good service and the food was tasty.,Positive
La livraison a été retardée sans raison.,Negative
الأكل وصل بسرعة وكان طيباً.,Positive
"La commande est arrivée en un temps record, merci!",Positive
الأكل وصل متأخراً وكان غير ساخن.,Negative
The food was fresh and tasted great.,Positive
La plateforme est parfois lente à charger.,Positive
خدمة التوصيل ممتازة والأسعار معقولة.,Positive
The order was wrong and the customer service was unhelpful.,Negative
La nourriture était savoureuse et bien emballée.,Positive
الأكل بارد ولم يكن جيداً كما توقعت.,Negative
Great variety of food options available.,Positive
La livraison a été rapide mais le repas était moyen.,Positive
الأكل طيب ولكن التغليف كان سيء.,Positive
The app is easy to use and efficient.,Positive
La commande a été incorrecte et j'ai dû attendre longtemps.,Negative
الأكل وصل بسرعة وكان بنين جداً.,Positive
The food was decent but not exceptional.,Positive
La livraison était lente et le repas était froid.,Negative
الأكل لذيذ والتغليف ممتاز.,Positive
"The app often crashes, making it difficult to order.",Negative
La nourriture était excellente et le service rapide.,Positive
الأكل وصل بارد ولم يكن طازجاً.,Negative
Good prices for the quality of food.,Positive
La commande est arrivée en bon état et rapidement.,Positive
الأكل كان طيب ولكن التوصيل كان بطيئاً.,Positive
